loja,ano,semana,semana_inicio,receita
Loja_03,2025,10,2025-03-03,172142.17
Loja_03,2025,11,2025-03-10,225890.87
Loja_03,2025,12,2025-03-17,198479.95
Loja_03,2025,13,2025-03-24,167064.95
Loja_03,2025,14,2025-03-31,163069.45
Loja_03,2025,15,2025-04-07,197776.18
Loja_03,2025,16,2025-04-14,179367.42
Loja_03,2025,17,2025-04-21,173635.85
Loja_03,2025,18,2025-04-28,189638.49
Loja_03,2025,19,2025-05-05,183607.17
Loja_03,2025,20,2025-05-12,129111.17
Loja_03,2025,21,2025-05-19,191492.68
Loja_03,2025,22,2025-05-26,192598.83
Loja_03,2025,23,2025-06-02,208003.02
Loja_03,2025,24,2025-06-09,185950.98
Loja_03,2025,25,2025-06-16,208820.14
Loja_03,2025,26,2025-06-23,156660.85
Loja_03,2025,27,2025-06-30,196545.43
Loja_03,2025,28,2025-07-07,202257.8
Loja_03,2025,29,2025-07-14,172210.22
Loja_03,2025,30,2025-07-21,172058.65
Loja_03,2025,31,2025-07-28,171787.47
Loja_03,2025,32,2025-08-04,146794.95
Loja_03,2025,33,2025-08-11,130874.28
Loja_03,2025,34,2025-08-18,175299.6
Loja_03,2025,35,2025-08-25,163934.18
Loja_03,2025,36,2025-09-01,169822.1
Loja_03,2025,37,2025-09-08,171493.71
Loja_03,2025,38,2025-09-15,152764.47
Loja_03,2025,39,2025-09-22,142533.59
Loja_03,2025,40,2025-09-29,163438.64
Loja_03,2025,41,2025-10-06,133349.61
Loja_03,2025,42,2025-10-13,157872.07
Loja_03,2025,43,2025-10-20,164429.94
Loja_03,2025,44,2025-10-27,120773.41
Loja_03,2025,45,2025-11-03,144436.25
Loja_03,2025,46,2025-11-10,170452.21
Loja_03,2025,47,2025-11-17,171282.83
Loja_03,2025,48,2025-11-24,167534.55
Loja_03,2025,49,2025-12-01,171071.77
Loja_03,2025,50,2025-12-08,195873.17
Loja_03,2025,51,2025-12-15,173594.72
Loja_03,2025,52,2025-12-22,158781.37
Loja_03,2025,1,2025-12-29,195859.37
Loja_04,2025,2,2025-01-06,171692.14
Loja_04,2025,3,2025-01-13,149153.41
Loja_04,2025,4,2025-01-20,145869.78
Loja_04,2025,5,2025-01-27,153473.07
Loja_04,2025,6,2025-02-03,155810.37
Loja_04,2025,7,2025-02-10,170697.11
Loja_04,2025,8,2025-02-17,183842.52
Loja_04,2025,9,2025-02-24,153634.23
Loja_04,2025,10,2025-03-03,165087.51
Loja_04,2025,11,2025-03-10,181105.11
Loja_04,2025,12,2025-03-17,169608.51
Loja_04,2025,13,2025-03-24,184035.34
Loja_04,2025,14,2025-03-31,154957.22
Loja_04,2025,15,2025-04-07,193077.36
Loja_04,2025,16,2025-04-14,179461.52
Loja_04,2025,17,2025-04-21,182439.77
Loja_04,2025,18,2025-04-28,183715.0
Loja_04,2025,19,2025-05-05,191048.39
Loja_04,2025,20,2025-05-12,160537.78
Loja_04,2025,21,2025-05-19,146105.99
Loja_04,2025,22,2025-05-26,157316.77
Loja_04,2025,23,2025-06-02,176784.93
Loja_04,2025,24,2025-06-09,198964.78
Loja_04,2025,25,2025-06-16,131440.17
Loja_04,2025,26,2025-06-23,142867.82
Loja_04,2025,27,2025-06-30,152538.66
Loja_04,2025,28,2025-07-07,137684.06
Loja_04,2025,29,2025-07-14,152286.95
Loja_04,2025,30,2025-07-21,136210.48
Loja_04,2025,31,2025-07-28,145684.05
Loja_04,2025,32,2025-08-04,134821.55
Loja_04,2025,33,2025-08-11,154337.59
Loja_04,2025,34,2025-08-18,150045.84
Loja_04,2025,35,2025-08-25,142173.01
Loja_04,2025,36,2025-09-01,136992.95
Loja_04,2025,37,2025-09-08,141425.74
Loja_04,2025,38,2025-09-15,118918.79
Loja_04,2025,39,2025-09-22,112870.12
Loja_04,2025,40,2025-09-29,122231.52
Loja_04,2025,41,2025-10-06,104267.51
Loja_04,2025,42,2025-10-13,126067.02
Loja_04,2025,43,2025-10-20,148141.4
Loja_04,2025,44,2025-10-27,116981.51
Loja_04,2025,45,2025-11-03,128314.48
Loja_04,2025,46,2025-11-10,123970.79
Loja_04,2025,47,2025-11-17,138599.9
Loja_04,2025,48,2025-11-24,148365.56
Loja_04,2025,49,2025-12-01,141352.76
Loja_04,2025,50,2025-12-08,132387.1
Loja_04,2025,51,2025-12-15,166728.38
Loja_04,2025,52,2025-12-22,138825.46
Loja_04,2025,1,2025-12-29,151398.34
Loja_05,2025,2,2025-01-06,115883.6
Loja_05,2025,3,2025-01-13,132600.24
Loja_05,2025,4,2025-01-20,132930.7
Loja_05,2025,5,2025-01-27,123331.41
Loja_05,2025,6,2025-02-03,117914.63
Loja_05,2025,7,2025-02-10,140794.95
Loja_05,2025,8,2025-02-17,145387.64
Loja_05,2025,9,2025-02-24,102334.63
Loja_05,2025,10,2025-03-03,102691.86
Loja_05,2025,11,2025-03-10,96293.54
Loja_05,2025,12,2025-03-17,117925.22
Loja_05,2025,13,2025-03-24,134337.62
Loja_05,2025,14,2025-03-31,103498.18
Loja_05,2025,15,2025-04-07,109364.29
Loja_05,2025,16,2025-04-14,131491.75
Loja_05,2025,17,2025-04-21,133144.35
Loja_05,2025,18,2025-04-28,131427.27
Loja_05,2025,19,2025-05-05,139045.45
Loja_05,2025,20,2025-05-12,108527.12
Loja_05,2025,21,2025-05-19,142837.89
Loja_05,2025,22,2025-05-26,111832.95
Loja_05,2025,23,2025-06-02,138267.6
Loja_05,2025,24,2025-06-09,132862.15
Loja_05,2025,25,2025-06-16,100652.49
Loja_05,2025,26,2025-06-23,116776.36
Loja_05,2025,27,2025-06-30,134759.77
Loja_05,2025,28,2025-07-07,106025.94
Loja_05,2025,29,2025-07-14,130842.04
Loja_05,2025,30,2025-07-21,109523.74
Loja_05,2025,31,2025-07-28,109264.05
Loja_05,2025,32,2025-08-04,130187.27
Loja_05,2025,33,2025-08-11,130006.38
Loja_05,2025,34,2025-08-18,104472.31
Loja_05,2025,35,2025-08-25,131719.55
Loja_05,2025,36,2025-09-01,136133.5
Loja_05,2025,37,2025-09-08,128775.76
Loja_05,2025,38,2025-09-15,112314.72
Loja_05,2025,39,2025-09-22,107904.84
Loja_05,2025,40,2025-09-29,112336.07
Loja_05,2025,41,2025-10-06,113567.87
Loja_05,2025,42,2025-10-13,119097.6
Loja_05,2025,43,2025-10-20,111435.44
Loja_05,2025,44,2025-10-27,114739.67
Loja_05,2025,45,2025-11-03,119323.06
Loja_05,2025,46,2025-11-10,59150.61
Loja_05,2025,47,2025-11-17,117659.41
Loja_05,2025,48,2025-11-24,109709.75
Loja_05,2025,49,2025-12-01,99293.03
Loja_05,2025,50,2025-12-08,122582.15
Loja_05,2025,51,2025-12-15,128359.86
Loja_05,2025,52,2025-12-22,104909.87
Loja_05,2025,1,2025-12-29,139864.23
Loja_06,2025,2,2025-01-06,116655.04
Loja_06,2025,3,2025-01-13,116432.22
Loja_06,2025,4,2025-01-20,128390.79
Loja_06,2025,5,2025-01-27,131492.45
Loja_06,2025,6,2025-02-03,139067.39
Loja_06,2025,7,2025-02-10,126130.07
Loja_06,2025,8,2025-02-17,114318.21
Loja_06,2025,9,2025-02-24,160897.57
Loja_06,2025,10,2025-03-03,136516.34
Loja_06,2025,11,2025-03-10,181354.03
Loja_06,2025,12,2025-03-17,132021.13
Loja_06,2025,13,2025-03-24,129471.4
Loja_06,2025,14,2025-03-31,125441.8
Loja_06,2025,15,2025-04-07,140929.98
Loja_06,2025,16,2025-04-14,179827.56
Loja_06,2025,17,2025-04-21,109359.67
Loja_06,2025,18,2025-04-28,125423.91
Loja_06,2025,19,2025-05-05,111911.05
Loja_06,2025,20,2025-05-12,148842.3
Loja_06,2025,21,2025-05-19,118151.88
Loja_06,2025,22,2025-05-26,119814.35
Loja_06,2025,23,2025-06-02,146547.6
Loja_06,2025,24,2025-06-09,131108.43
Loja_06,2025,25,2025-06-16,132787.58
Loja_06,2025,26,2025-06-23,113633.43
Loja_06,2025,27,2025-06-30,125686.24
Loja_06,2025,28,2025-07-07,125037.56
Loja_06,2025,29,2025-07-14,142849.76
Loja_06,2025,30,2025-07-21,122476.44
Loja_06,2025,31,2025-07-28,109991.53
Loja_06,2025,32,2025-08-04,147668.93
Loja_06,2025,33,2025-08-11,139109.71
Loja_06,2025,34,2025-08-18,96556.23
Loja_06,2025,35,2025-08-25,96203.94
Loja_06,2025,36,2025-09-01,93436.03
Loja_06,2025,37,2025-09-08,121521.21
Loja_06,2025,38,2025-09-15,100754.76
Loja_06,2025,39,2025-09-22,94855.88
Loja_06,2025,40,2025-09-29,97132.08
Loja_06,2025,41,2025-10-06,102388.42
Loja_06,2025,42,2025-10-13,101475.13
Loja_06,2025,43,2025-10-20,115245.14
Loja_06,2025,44,2025-10-27,117702.63
Loja_06,2025,45,2025-11-03,90812.59
Loja_06,2025,46,2025-11-10,122392.62
Loja_06,2025,47,2025-11-17,98099.51
Loja_06,2025,48,2025-11-24,129241.46
Loja_06,2025,49,2025-12-01,121088.15
Loja_06,2025,50,2025-12-08,128924.66
Loja_06,2025,51,2025-12-15,124354.43
Loja_06,2025,52,2025-12-22,113049.17
Loja_06,2025,1,2025-12-29,140417.29
Loja_07,2025,2,2025-01-06,94727.9
Loja_07,2025,3,2025-01-13,103660.92
Loja_07,2025,4,2025-01-20,117167.76
Loja_07,2025,5,2025-01-27,159419.79
Loja_07,2025,6,2025-02-03,105921.47
Loja_07,2025,7,2025-02-10,127090.28
Loja_07,2025,8,2025-02-17,126209.68
Loja_07,2025,9,2025-02-24,152012.02
Loja_07,2025,10,2025-03-03,146011.06
Loja_07,2025,11,2025-03-10,162859.48
Loja_07,2025,12,2025-03-17,108819.41
Loja_07,2025,13,2025-03-24,150817.55
Loja_07,2025,14,2025-03-31,127179.99
Loja_07,2025,15,2025-04-07,146012.49
Loja_07,2025,16,2025-04-14,143513.4
Loja_07,2025,17,2025-04-21,112279.94
Loja_07,2025,18,2025-04-28,145249.12
Loja_07,2025,19,2025-05-05,154416.04
Loja_07,2025,20,2025-05-12,145372.7
Loja_07,2025,21,2025-05-19,136215.45
Loja_07,2025,22,2025-05-26,119966.73
Loja_07,2025,23,2025-06-02,135345.47
Loja_07,2025,24,2025-06-09,111789.59
Loja_07,2025,25,2025-06-16,112939.8
Loja_07,2025,26,2025-06-23,138620.58
Loja_07,2025,27,2025-06-30,101936.19
Loja_07,2025,28,2025-07-07,129467.65
Loja_07,2025,29,2025-07-14,99232.93
Loja_07,2025,30,2025-07-21,126665.9
Loja_07,2025,31,2025-07-28,123262.96
Loja_07,2025,32,2025-08-04,119338.24
Loja_07,2025,33,2025-08-11,99589.96
Loja_07,2025,34,2025-08-18,130057.22
Loja_07,2025,35,2025-08-25,80204.27
Loja_07,2025,36,2025-09-01,93735.93
Loja_07,2025,37,2025-09-08,108825.77
Loja_07,2025,38,2025-09-15,98907.24
Loja_07,2025,39,2025-09-22,107279.42
Loja_07,2025,40,2025-09-29,118499.86
Loja_07,2025,41,2025-10-06,71180.45
Loja_07,2025,42,2025-10-13,118930.98
Loja_07,2025,43,2025-10-20,106119.36
Loja_07,2025,44,2025-10-27,95802.97
Loja_07,2025,45,2025-11-03,76933.83
Loja_07,2025,46,2025-11-10,123626.6
Loja_07,2025,47,2025-11-17,93250.93
Loja_07,2025,48,2025-11-24,123804.93
Loja_07,2025,49,2025-12-01,115535.45
Loja_07,2025,50,2025-12-08,115743.23
Loja_07,2025,51,2025-12-15,107654.29
Loja_07,2025,52,2025-12-22,135531.48
Loja_07,2025,1,2025-12-29,106893.71
Loja_08,2025,2,2025-01-06,109376.08
Loja_08,2025,3,2025-01-13,133895.95
Loja_08,2025,4,2025-01-20,105984.9
Loja_08,2025,5,2025-01-27,134755.24
Loja_08,2025,6,2025-02-03,114149.98
Loja_08,2025,7,2025-02-10,122507.68
Loja_08,2025,8,2025-02-17,95594.02
Loja_08,2025,9,2025-02-24,117973.62
Loja_08,2025,10,2025-03-03,175439.3
Loja_08,2025,11,2025-03-10,123470.66
Loja_08,2025,12,2025-03-17,154889.67
Loja_08,2025,13,2025-03-24,130498.36
Loja_08,2025,14,2025-03-31,167755.38
Loja_08,2025,15,2025-04-07,132876.88
Loja_08,2025,16,2025-04-14,138045.43
Loja_08,2025,17,2025-04-21,125139.31
Loja_08,2025,18,2025-04-28,150114.32
Loja_08,2025,19,2025-05-05,146610.87
Loja_08,2025,20,2025-05-12,120811.78
Loja_08,2025,21,2025-05-19,144247.64
Loja_08,2025,22,2025-05-26,140964.51
Loja_08,2025,23,2025-06-02,142546.18
Loja_08,2025,24,2025-06-09,113686.92
Loja_08,2025,25,2025-06-16,103144.0
Loja_08,2025,26,2025-06-23,130153.88
Loja_08,2025,27,2025-06-30,67909.92
Loja_08,2025,28,2025-07-07,114162.6
Loja_08,2025,29,2025-07-14,105885.2
Loja_08,2025,30,2025-07-21,98840.98
Loja_08,2025,31,2025-07-28,106200.54
Loja_08,2025,32,2025-08-04,130276.01
Loja_08,2025,33,2025-08-11,99695.1
Loja_08,2025,34,2025-08-18,105754.27
Loja_08,2025,35,2025-08-25,92272.1
Loja_08,2025,36,2025-09-01,100799.27
Loja_08,2025,37,2025-09-08,80118.53
Loja_08,2025,38,2025-09-15,113357.96
Loja_08,2025,39,2025-09-22,116085.32
Loja_08,2025,40,2025-09-29,75207.01
Loja_08,2025,41,2025-10-06,102977.72
Loja_08,2025,42,2025-10-13,89453.41
Loja_08,2025,43,2025-10-20,92348.41
Loja_08,2025,44,2025-10-27,96284.92
Loja_08,2025,45,2025-11-03,82080.98
Loja_08,2025,46,2025-11-10,109002.24
Loja_08,2025,47,2025-11-17,82493.21
Loja_08,2025,48,2025-11-24,110101.67
Loja_08,2025,49,2025-12-01,110652.23
Loja_08,2025,50,2025-12-08,97359.06
Loja_08,2025,51,2025-12-15,118433.16
Loja_08,2025,52,2025-12-22,141122.07
Loja_08,2025,1,2025-12-29,146975.42
Loja_09,2025,2,2025-01-06,90625.68
Loja_09,2025,3,2025-01-13,107817.93
Loja_09,2025,4,2025-01-20,123302.44
Loja_09,2025,5,2025-01-27,118843.47
Loja_09,2025,6,2025-02-03,122132.08
Loja_09,2025,7,2025-02-10,106635.62
Loja_09,2025,8,2025-02-17,122411.24
Loja_09,2025,9,2025-02-24,156795.93
Loja_09,2025,10,2025-03-03,115660.07
Loja_09,2025,11,2025-03-10,131029.22
Loja_09,2025,12,2025-03-17,120009.52
Loja_09,2025,13,2025-03-24,129444.27
Loja_09,2025,14,2025-03-31,120716.84
Loja_09,2025,15,2025-04-07,121006.44
Loja_09,2025,16,2025-04-14,120591.6
Loja_09,2025,17,2025-04-21,106808.45
Loja_09,2025,18,2025-04-28,122948.91
Loja_09,2025,19,2025-05-05,128564.27
Loja_09,2025,20,2025-05-12,123517.75
Loja_09,2025,21,2025-05-19,139987.11
Loja_09,2025,22,2025-05-26,79470.71
Loja_09,2025,23,2025-06-02,139214.59
Loja_09,2025,24,2025-06-09,114598.0
Loja_09,2025,25,2025-06-16,102445.3
Loja_09,2025,26,2025-06-23,121478.94
Loja_09,2025,27,2025-06-30,105976.5
Loja_09,2025,28,2025-07-07,127045.08
Loja_09,2025,29,2025-07-14,115841.67
Loja_09,2025,30,2025-07-21,120431.3
Loja_09,2025,31,2025-07-28,98365.6
Loja_09,2025,32,2025-08-04,104113.87
Loja_09,2025,33,2025-08-11,117527.22
Loja_09,2025,34,2025-08-18,125266.79
Loja_09,2025,35,2025-08-25,121651.79
Loja_09,2025,36,2025-09-01,93911.95
Loja_09,2025,37,2025-09-08,128918.25
Loja_09,2025,38,2025-09-15,111183.79
Loja_09,2025,39,2025-09-22,134001.43
Loja_09,2025,40,2025-09-29,128571.25
Loja_09,2025,41,2025-10-06,126887.25
Loja_09,2025,42,2025-10-13,131460.49
Loja_09,2025,43,2025-10-20,97558.38
Loja_09,2025,44,2025-10-27,109275.03
Loja_09,2025,45,2025-11-03,154821.84
Loja_09,2025,46,2025-11-10,155010.6
Loja_09,2025,47,2025-11-17,120709.67
Loja_09,2025,48,2025-11-24,148092.24
Loja_09,2025,49,2025-12-01,116895.4
Loja_09,2025,50,2025-12-08,120724.24
Loja_09,2025,51,2025-12-15,107288.26
Loja_09,2025,52,2025-12-22,103747.97
Loja_09,2025,1,2025-12-29,96652.77
Loja_10,2025,2,2025-01-06,155108.83
Loja_10,2025,3,2025-01-13,94403.69
Loja_10,2025,4,2025-01-20,133070.75
Loja_10,2025,5,2025-01-27,126720.98
Loja_10,2025,6,2025-02-03,135773.11
Loja_10,2025,7,2025-02-10,169496.21
Loja_10,2025,8,2025-02-17,138374.22
Loja_10,2025,9,2025-02-24,168700.55
Loja_10,2025,10,2025-03-03,153204.21
Loja_10,2025,11,2025-03-10,114003.3
Loja_10,2025,12,2025-03-17,148436.67
Loja_10,2025,13,2025-03-24,133093.5
Loja_10,2025,14,2025-03-31,135343.5
Loja_10,2025,15,2025-04-07,125457.13
Loja_10,2025,16,2025-04-14,141972.69
Loja_10,2025,17,2025-04-21,135508.91
Loja_10,2025,18,2025-04-28,159908.36
Loja_10,2025,19,2025-05-05,163343.8
Loja_10,2025,20,2025-05-12,95067.26
Loja_10,2025,21,2025-05-19,135515.01
Loja_10,2025,22,2025-05-26,143530.44
Loja_10,2025,23,2025-06-02,137130.25
Loja_10,2025,24,2025-06-09,114725.37
Loja_10,2025,25,2025-06-16,130945.86
Loja_10,2025,26,2025-06-23,129314.8
Loja_10,2025,27,2025-06-30,151923.33
Loja_10,2025,28,2025-07-07,157373.09
Loja_10,2025,29,2025-07-14,138091.87
Loja_10,2025,30,2025-07-21,131205.61
Loja_10,2025,31,2025-07-28,158933.72
Loja_10,2025,32,2025-08-04,152226.27
Loja_10,2025,33,2025-08-11,133547.32
Loja_10,2025,34,2025-08-18,130317.61
Loja_10,2025,35,2025-08-25,121192.24
Loja_10,2025,36,2025-09-01,146883.1
Loja_10,2025,37,2025-09-08,131544.03
Loja_10,2025,38,2025-09-15,127183.41
Loja_10,2025,39,2025-09-22,111485.49
Loja_10,2025,40,2025-09-29,112526.92
Loja_10,2025,41,2025-10-06,115191.57
Loja_10,2025,42,2025-10-13,140533.36
Loja_10,2025,43,2025-10-20,125903.42
Loja_10,2025,44,2025-10-27,112301.68
Loja_10,2025,45,2025-11-03,109622.87
Loja_10,2025,46,2025-11-10,129042.24
Loja_10,2025,47,2025-11-17,114799.76
Loja_10,2025,48,2025-11-24,112586.14
Loja_10,2025,49,2025-12-01,131105.23
Loja_10,2025,50,2025-12-08,151147.32
Loja_10,2025,51,2025-12-15,143692.59
Loja_10,2025,52,2025-12-22,113567.62
Loja_10,2025,1,2025-12-29,138935.95
Loja_11,2025,2,2025-01-06,125367.5
Loja_11,2025,3,2025-01-13,105652.31
Loja_11,2025,4,2025-01-20,96541.74
Loja_11,2025,5,2025-01-27,121393.57
Loja_11,2025,6,2025-02-03,120349.08
Loja_11,2025,7,2025-02-10,104203.58
Loja_11,2025,8,2025-02-17,129335.34
Loja_11,2025,9,2025-02-24,102855.72
Loja_11,2025,10,2025-03-03,147756.64
Loja_11,2025,11,2025-03-10,144687.46
Loja_11,2025,12,2025-03-17,125232.84
Loja_11,2025,13,2025-03-24,102282.65
Loja_11,2025,14,2025-03-31,100927.42
Loja_11,2025,15,2025-04-07,107227.38
Loja_11,2025,16,2025-04-14,133689.31
Loja_11,2025,17,2025-04-21,97629.6
Loja_11,2025,18,2025-04-28,122545.56
Loja_11,2025,19,2025-05-05,132666.34
Loja_11,2025,20,2025-05-12,118112.81
Loja_11,2025,21,2025-05-19,133633.55
Loja_11,2025,22,2025-05-26,121447.97
Loja_11,2025,23,2025-06-02,114887.48
Loja_11,2025,24,2025-06-09,104210.05
Loja_11,2025,25,2025-06-16,105020.66
Loja_11,2025,26,2025-06-23,129071.28
Loja_11,2025,27,2025-06-30,89887.02
Loja_11,2025,28,2025-07-07,136020.14
Loja_11,2025,29,2025-07-14,104852.31
Loja_11,2025,30,2025-07-21,124124.67
Loja_11,2025,31,2025-07-28,107518.59
Loja_11,2025,32,2025-08-04,123624.76
Loja_11,2025,33,2025-08-11,88176.54
Loja_11,2025,34,2025-08-18,118052.34
Loja_11,2025,35,2025-08-25,117479.86
Loja_11,2025,36,2025-09-01,108697.68
Loja_11,2025,37,2025-09-08,98901.11
Loja_11,2025,38,2025-09-15,79045.49
Loja_11,2025,39,2025-09-22,90954.16
Loja_11,2025,40,2025-09-29,102865.81
Loja_11,2025,41,2025-10-06,76773.0
Loja_11,2025,42,2025-10-13,106631.06
Loja_11,2025,43,2025-10-20,87060.54
Loja_11,2025,44,2025-10-27,109007.62
Loja_11,2025,45,2025-11-03,111865.32
Loja_11,2025,46,2025-11-10,108554.33
Loja_11,2025,47,2025-11-17,86549.19
Loja_11,2025,48,2025-11-24,113856.96
Loja_11,2025,49,2025-12-01,101510.08
Loja_11,2025,50,2025-12-08,108045.49
Loja_11,2025,51,2025-12-15,116785.37
Loja_11,2025,52,2025-12-22,108598.35
Loja_11,2025,1,2025-12-29,104740.75
Loja_12,2025,2,2025-01-06,99660.27
Loja_12,2025,3,2025-01-13,131485.69
Loja_12,2025,4,2025-01-20,109333.64
Loja_12,2025,5,2025-01-27,119449.83
Loja_12,2025,6,2025-02-03,92184.02
Loja_12,2025,7,2025-02-10,100026.34
Loja_12,2025,8,2025-02-17,115763.73
Loja_12,2025,9,2025-02-24,118467.8
Loja_12,2025,10,2025-03-03,88363.89
Loja_12,2025,11,2025-03-10,118858.83
Loja_12,2025,12,2025-03-17,116714.53
Loja_12,2025,13,2025-03-24,100100.58
Loja_12,2025,14,2025-03-31,114634.37
Loja_12,2025,15,2025-04-07,119360.53
Loja_12,2025,16,2025-04-14,134552.22
Loja_12,2025,17,2025-04-21,136050.43
Loja_12,2025,18,2025-04-28,123214.33
Loja_12,2025,19,2025-05-05,99457.73
Loja_12,2025,20,2025-05-12,115270.14
Loja_12,2025,21,2025-05-19,126052.53
Loja_12,2025,22,2025-05-26,91737.45
Loja_12,2025,23,2025-06-02,106670.66
Loja_12,2025,24,2025-06-09,106111.98
Loja_12,2025,25,2025-06-16,99057.08
Loja_12,2025,26,2025-06-23,93683.59
Loja_12,2025,27,2025-06-30,91215.8
Loja_12,2025,28,2025-07-07,81647.98
Loja_12,2025,29,2025-07-14,99994.85
Loja_12,2025,30,2025-07-21,120775.84
Loja_12,2025,31,2025-07-28,108933.32
Loja_12,2025,32,2025-08-04,119164.46
Loja_12,2025,33,2025-08-11,107416.18
Loja_12,2025,34,2025-08-18,125572.18
Loja_12,2025,35,2025-08-25,126806.46
Loja_12,2025,36,2025-09-01,99529.11
